Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc
BWD03_13050,,DUF2542 family protein,1167,1167,1.0,8.0,315.0,8.0,66.0,,141,245,244
rsxC,,electron transport complex subunit RsxC,1167,1167,1.0,1.0,776.0,1.0,871.0,,1670,2207,2197
fimY,,fimbria biosynthesis regulator FimY,1167,1167,1.0,2.0,475.0,2.0,447.0,,617,722,721
cbpM,,chaperone modulator CbpM,1167,1167,1.0,1.0,325.0,1.0,72.0,,305,305,305
yhcN,,peroxide/acid stress response protein YhcN,1167,1167,1.0,15.0,12.0,15.0,33.0,,266,266,266
yoeI,,membrane protein YoeI,1167,1167,1.0,8.0,193.0,8.0,305.0,,62,62,62
HHZ44_003352,,DUF2755 family protein,1167,1167,1.0,2.0,299.0,2.0,271.0,,308,308,308
group_17007,rpmJ,50S ribosomal protein L36,1167,1167,1.0,12.0,31.0,12.0,63.0,,116,116,116
soxS,,superoxide response transcriptional regulator SoxS,1167,1167,1.0,4.0,92.0,4.0,94.0,,323,323,323
rplK,,50S ribosomal protein L11,1167,1167,1.0,16.0,9.0,16.0,30.0,,428,428,428
rppH,,RNA pyrophosphohydrolase,1167,1167,1.0,6.0,352.0,6.0,23.0,,530,530,530
maoP,,macrodomain Ori organization protein MaoP,1167,1167,1.0,11.0,83.0,11.0,60.0,,338,338,338
infC,,translation initiation factor IF-3,1167,1167,1.0,1.0,651.0,1.0,996.0,,542,542,542
rpsD,,30S ribosomal protein S4,1167,1167,1.0,12.0,28.0,12.0,66.0,,620,620,620
rpsC,,30S ribosomal protein S3,1167,1167,1.0,12.0,46.0,12.0,48.0,,701,701,701
rpsU,,30S ribosomal protein S21,1167,1167,1.0,3.0,201.0,3.0,339.0,,215,215,215
rho,,transcription termination factor Rho,1167,1167,1.0,11.0,69.0,11.0,81.0,,1259,1259,1259
nusB,,transcription antitermination factor NusB,1167,1167,1.0,2.0,340.0,2.0,312.0,,419,419,419
C8463_03840,,hypothetical protein,1167,1167,1.0,7.0,275.0,7.0,273.0,,203,203,203
rplC,,50S ribosomal protein L3,1167,1167,1.0,12.0,52.0,12.0,42.0,,629,629,629
yshB,,YshB family small membrane protein,1167,1167,1.0,10.0,131.0,10.0,99.0,,110,110,110
cspA,,RNA chaperone/antiterminator CspA,1167,1167,1.0,7.0,304.0,7.0,245.0,,212,212,212
rpmF,,50S ribosomal protein L32,1167,1167,1.0,1.0,416.0,1.0,159.0,,173,173,173
ilvM,,acetolactate synthase 2 small subunit,1167,1167,1.0,11.0,87.0,11.0,64.0,,263,263,263
sdhD,,succinate dehydrogenase membrane anchor subunit,1167,1167,1.0,2.0,35.0,2.0,33.0,,347,347,347
rpmD,,50S ribosomal protein L30,1167,1167,1.0,12.0,34.0,12.0,60.0,,179,179,179
C6I92_07595,,AroM family protein,1167,1167,1.0,2.0,311.0,2.0,283.0,,677,677,677
ydfZ,,putative selenium delivery protein YdfZ,1167,1167,1.0,1.0,831.0,1.0,816.0,,203,203,203
minD,,septum site-determining protein MinD,1167,1167,1.0,1.0,155.0,1.0,498.0,,812,812,812
mlaC,,phospholipid-binding protein MlaC,1167,1167,1.0,3.0,479.0,3.0,198.0,,635,635,635
csrA,,carbon storage regulator CsrA,1167,1167,1.0,6.0,167.0,6.0,208.0,,185,185,185
E3K74_06275,,YgdI/YgdR family lipoprotein,1167,1167,1.0,6.0,349.0,6.0,20.0,,218,218,218
CEQ67_03220,,hypothetical protein,1167,1167,1.0,4.0,266.0,4.0,240.0,,140,140,140
GYC76_002830,,YfcL family protein,1167,1167,1.0,5.0,371.0,5.0,136.0,,275,275,275
FYQ14_13665,,YbdD/YjiX family protein,1167,1167,1.0,2.0,525.0,2.0,501.0,,197,197,197
rpsS,,30S ribosomal protein S19,1167,1167,1.0,12.0,48.0,12.0,46.0,,278,278,278
GUE07_003318,,secY/secA suppressor protein,1167,1167,1.0,1.0,372.0,1.0,119.0,,374,374,374
yacG,,DNA gyrase inhibitor YacG,1167,1167,1.0,9.0,92.0,9.0,146.0,,191,191,191
zapB,,septal ring assembly protein ZapB,1167,1167,1.0,10.0,45.0,10.0,45.0,,239,239,239
DSP01_09745,,YgdI/YgdR family lipoprotein,1167,1167,1.0,6.0,372.0,6.0,43.0,,227,227,227
rpsM,,30S ribosomal protein S13,1167,1167,1.0,12.0,30.0,12.0,64.0,,356,356,356
rpmI,,50S ribosomal protein L35,1167,1167,1.0,1.0,652.0,1.0,995.0,,197,197,197
rnc,,ribonuclease III,1167,1167,1.0,5.0,165.0,5.0,201.0,,680,680,680
rplO,,50S ribosomal protein L15,1167,1167,1.0,12.0,33.0,12.0,61.0,,434,434,434
C0672_01425,,YbaB/EbfC family nucleoid-associated protein,1167,1167,1.0,2.0,408.0,2.0,380.0,,329,329,329
rpmA,,50S ribosomal protein L27,1167,1167,1.0,3.0,486.0,3.0,205.0,,257,257,257
uspA,,universal stress protein UspA,1167,1167,1.0,7.0,244.0,7.0,304.0,,434,434,434
ihfB,,integration host factor subunit beta,1167,1167,1.0,13.0,71.0,13.0,40.0,,284,284,284
glgS,,cell surface composition regulator GlgS,1167,1167,1.0,3.0,185.0,3.0,355.0,,209,209,209
KUI16_003303,,YoaH family protein,1167,1167,1.0,1.0,146.0,1.0,489.0,,179,179,179
ppiC,,peptidylprolyl isomerase C,1167,1167,1.0,11.0,77.0,11.0,73.0,,281,281,281
ilvN,,acetolactate synthase small subunit,1167,1167,1.0,7.0,22.0,7.0,93.0,,290,290,290
corA,,magnesium/cobalt transporter CorA,1167,1167,1.0,11.0,37.0,11.0,37.0,,950,950,950
eutM,,ethanolamine utilization microcompartment protein EutM,1167,1167,1.0,5.0,288.0,5.0,323.0,,290,290,290
iscA,,iron-sulfur cluster assembly protein IscA,1167,1167,1.0,5.0,205.0,5.0,241.0,,323,323,323
GKU35_13965,,YceK/YidQ family lipoprotein,1167,1167,1.0,1.0,371.0,1.0,118.0,,227,227,227
rplP,,50S ribosomal protein L16,1167,1167,1.0,12.0,45.0,12.0,49.0,,410,410,410
tisB,,type I toxin-antitoxin system toxin TisB,1167,1167,1.0,7.0,18.0,7.0,89.0,,89,89,89
mreB,,rod shape-determining protein,1167,1167,1.0,15.0,24.0,15.0,21.0,,1043,1043,1043
rpmC,,50S ribosomal protein L29,1167,1167,1.0,12.0,44.0,12.0,50.0,,191,191,191
E2T44_02625,,YqaE/Pmp3 family membrane protein,1167,1167,1.0,6.0,138.0,6.0,237.0,,158,158,158
ypdK,,membrane protein YpdK,1167,1167,1.0,5.0,349.0,5.0,384.0,,71,71,71
sdhE,,FAD assembly factor SdhE,1167,1167,1.0,3.0,30.0,3.0,482.0,,266,266,266
FIW37_08505,,YgiW/YdeI family stress tolerance OB fold protein,1167,1167,1.0,3.0,166.0,3.0,376.0,,392,392,392
rplA,,50S ribosomal protein L1,1167,1167,1.0,16.0,10.0,16.0,29.0,,704,704,704
hns,,DNA-binding transcriptional regulator H-NS,1167,1167,1.0,1.0,219.0,1.0,562.0,,413,413,413
C3T90_00625,,YbdD/YjiX family protein,1167,1167,1.0,4.0,333.0,4.0,307.0,,203,203,203
hisL,,his operon leader peptide,1167,1167,1.0,8.0,196.0,8.0,308.0,,50,50,50
leuL,,leu operon leader peptide,1167,1167,1.0,9.0,67.0,9.0,121.0,,86,86,86
hdfR,,HTH-type transcriptional regulator HdfR,1167,1167,1.0,11.0,82.0,11.0,59.0,,848,848,848
GSC12_004266,,putative DNA-binding transcriptional regulator,1167,1167,1.0,5.0,337.0,5.0,372.0,,362,362,362
hypA,,hydrogenase maturation nickel metallochaperone HypA,1167,1167,1.0,6.0,198.0,6.0,176.0,,356,356,356
skp,,molecular chaperone Skp,1167,1167,1.0,9.0,192.0,9.0,24.0,,485,485,485
rplB,,50S ribosomal protein L2,1167,1167,1.0,12.0,49.0,12.0,45.0,,821,821,821
pheM,,phenylalanyl--tRNA ligase operon leader peptide,1167,1167,1.0,1.0,654.0,1.0,993.0,,44,44,44
rnk,,nucleoside diphosphate kinase regulator,1167,1167,1.0,2.0,540.0,2.0,516.0,,410,410,410
rplX,,50S ribosomal protein L24,1167,1167,1.0,12.0,41.0,12.0,53.0,,314,314,314
diaA,,DnaA initiator-associating protein DiaA,1167,1167,1.0,3.0,522.0,3.0,242.0,,590,590,590
yoaK,,YoaK family small membrane protein,1167,1167,1.0,1.0,587.0,1.0,332.0,,98,98,98
ecnB,,lipoprotein toxin entericidin B,1167,1167,1.0,4.0,166.0,4.0,166.0,,146,146,146
infA,,translation initiation factor IF-1,1167,1167,1.0,13.0,43.0,13.0,12.0,,218,218,218
acpP,,acyl carrier protein,1167,1167,1.0,1.0,421.0,1.0,164.0,,236,236,236
rplE,,50S ribosomal protein L5,1167,1167,1.0,12.0,40.0,12.0,54.0,,539,539,539
bcsF,,cellulose biosynthesis protein BcsF,1167,1167,1.0,7.0,277.0,7.0,271.0,,191,191,191
pyrH,,UMP kinase,1167,1167,1.0,9.0,200.0,9.0,32.0,,725,725,725
